06/19/2023 08:17:56 PM Creating new directory in /home/astro/shared/projects/bls_scraping_data_job/downloads for URL: https://www.bls.gov/oes/additional.htm
06/19/2023 08:17:56 PM Initializing Firefox driver
06/19/2023 08:17:58 PM Going to webpage: https://www.bls.gov/oes/additional.htm
06/19/2023 08:17:59 PM Found link: https://www.bls.gov/oes/additional.htm#startcontent
06/19/2023 08:17:59 PM Found link: https://www.dol.gov/
06/19/2023 08:17:59 PM Found link: https://www.bls.gov/
06/19/2023 08:17:59 PM Found link: http://twitter.com/BLS_gov
06/19/2023 08:17:59 PM Found link: http://twitter.com/BLS_gov
06/19/2023 08:17:59 PM Found link: https://www.bls.gov/schedule/news_release/
06/19/2023 08:17:59 PM Found link: https://www.bls.gov/blog/
06/19/2023 08:17:59 PM Found link: http://twitter.com/BLS_gov
06/19/2023 08:17:59 PM Found link: https://www.bls.gov/schedule/news_release/
06/19/2023 08:17:59 PM Found link: https://www.bls.gov/blog/
06/19/2023 08:17:59 PM Found link: https://www.bls.gov/
06/19/2023 08:17:59 PM Found link: https://www.bls.gov/bls/about-bls.htm
06/19/2023 08:17:59 PM Found link: https://www.bls.gov/bls/history/home.htm
06/19/2023 08:17:59 PM Found link: https://www.bls.gov/bls/senior_staff/home.htm
06/19/2023 08:17:59 PM Found link: https://www.bls.gov/bls/bls_budget_and_performance.htm
06/19/2023 08:17:59 PM Found link: https://www.bls.gov/bls/faqs.htm
06/19/2023 08:17:59 PM Found link: https://www.bls.gov/bls/topicsaz.htm
06/19/2023 08:17:59 PM Found link: https://www.bls.gov/bls/glossary.htm
06/19/2023 08:17:59 PM Found link: https://www.bls.gov/jobs/
06/19/2023 08:17:59 PM Found link: https://www.bls.gov/bls/bls-speakers/
06/19/2023 08:17:59 PM Found link: https://www.bls.gov/errata/
06/19/2023 08:17:59 PM Found link: https://www.bls.gov/bls/contact.htm
06/19/2023 08:17:59 PM Found link: https://www.bls.gov/bls/overview.htm
06/19/2023 08:17:59 PM Found link: https://www.bls.gov/bls/demographics.htm
06/19/2023 08:17:59 PM Found link: https://www.bls.gov/bls/industry.htm
06/19/2023 08:17:59 PM Found link: https://www.bls.gov/bls/business.htm
06/19/2023 08:17:59 PM Found link: https://www.bls.gov/bls/occupation.htm
06/19/2023 08:17:59 PM Found link: https://www.bls.gov/bls/geography.htm
06/19/2023 08:17:59 PM Found link: https://www.bls.gov/audience/
06/19/2023 08:17:59 PM Found link: https://www.bls.gov/audience/business.htm
06/19/2023 08:17:59 PM Found link: https://www.bls.gov/audience/consumers.htm
06/19/2023 08:17:59 PM Found link: https://www.bls.gov/audience/developers.htm
06/19/2023 08:17:59 PM Found link: https://www.bls.gov/audience/economists.htm
06/19/2023 08:17:59 PM Found link: https://www.bls.gov/audience/investors.htm
06/19/2023 08:17:59 PM Found link: https://www.bls.gov/audience/jobseekers.htm
06/19/2023 08:17:59 PM Found link: https://www.bls.gov/audience/media.htm
06/19/2023 08:17:59 PM Found link: https://www.bls.gov/audience/policy.htm
06/19/2023 08:17:59 PM Found link: https://www.bls.gov/audience/researcher.htm
06/19/2023 08:17:59 PM Found link: https://www.bls.gov/audience/students.htm
06/19/2023 08:17:59 PM Found link: https://www.bls.gov/respondents/
06/19/2023 08:17:59 PM Found link: https://www.bls.gov/bls/proghome.htm
